name	component	type	tracked_point	units	sampling_frequency
l_toe_POS_x	x	POS	l_toe	mm	200
l_toe_POS_y	y	POS	l_toe	mm	200
l_toe_POS_z	z	POS	l_toe	mm	200
l_toe_POS_err	n/a	POS	l_toe	mm	200
l_heel_POS_x	x	POS	l_heel	mm	200
l_heel_POS_y	y	POS	l_heel	mm	200
l_heel_POS_z	z	POS	l_heel	mm	200
l_heel_POS_err	n/a	POS	l_heel	mm	200
l_ank_POS_x	x	POS	l_ank	mm	200
l_ank_POS_y	y	POS	l_ank	mm	200
l_ank_POS_z	z	POS	l_ank	mm	200
l_ank_POS_err	n/a	POS	l_ank	mm	200
l_sk1_POS_x	x	POS	l_sk1	mm	200
l_sk1_POS_y	y	POS	l_sk1	mm	200
l_sk1_POS_z	z	POS	l_sk1	mm	200
l_sk1_POS_err	n/a	POS	l_sk1	mm	200
l_sk2_POS_x	x	POS	l_sk2	mm	200
l_sk2_POS_y	y	POS	l_sk2	mm	200
l_sk2_POS_z	z	POS	l_sk2	mm	200
l_sk2_POS_err	n/a	POS	l_sk2	mm	200
l_sk3_POS_x	x	POS	l_sk3	mm	200
l_sk3_POS_y	y	POS	l_sk3	mm	200
l_sk3_POS_z	z	POS	l_sk3	mm	200
l_sk3_POS_err	n/a	POS	l_sk3	mm	200
l_sk4_POS_x	x	POS	l_sk4	mm	200
l_sk4_POS_y	y	POS	l_sk4	mm	200
l_sk4_POS_z	z	POS	l_sk4	mm	200
l_sk4_POS_err	n/a	POS	l_sk4	mm	200
l_th1_POS_x	x	POS	l_th1	mm	200
l_th1_POS_y	y	POS	l_th1	mm	200
l_th1_POS_z	z	POS	l_th1	mm	200
l_th1_POS_err	n/a	POS	l_th1	mm	200
l_th2_POS_x	x	POS	l_th2	mm	200
l_th2_POS_y	y	POS	l_th2	mm	200
l_th2_POS_z	z	POS	l_th2	mm	200
l_th2_POS_err	n/a	POS	l_th2	mm	200
l_th3_POS_x	x	POS	l_th3	mm	200
l_th3_POS_y	y	POS	l_th3	mm	200
l_th3_POS_z	z	POS	l_th3	mm	200
l_th3_POS_err	n/a	POS	l_th3	mm	200
l_th4_POS_x	x	POS	l_th4	mm	200
l_th4_POS_y	y	POS	l_th4	mm	200
l_th4_POS_z	z	POS	l_th4	mm	200
l_th4_POS_err	n/a	POS	l_th4	mm	200
r_toe_POS_x	x	POS	r_toe	mm	200
r_toe_POS_y	y	POS	r_toe	mm	200
r_toe_POS_z	z	POS	r_toe	mm	200
r_toe_POS_err	n/a	POS	r_toe	mm	200
r_heel_POS_x	x	POS	r_heel	mm	200
r_heel_POS_y	y	POS	r_heel	mm	200
r_heel_POS_z	z	POS	r_heel	mm	200
r_heel_POS_err	n/a	POS	r_heel	mm	200
r_ank_POS_x	x	POS	r_ank	mm	200
r_ank_POS_y	y	POS	r_ank	mm	200
r_ank_POS_z	z	POS	r_ank	mm	200
r_ank_POS_err	n/a	POS	r_ank	mm	200
r_sk1_POS_x	x	POS	r_sk1	mm	200
r_sk1_POS_y	y	POS	r_sk1	mm	200
r_sk1_POS_z	z	POS	r_sk1	mm	200
r_sk1_POS_err	n/a	POS	r_sk1	mm	200
r_sk2_POS_x	x	POS	r_sk2	mm	200
r_sk2_POS_y	y	POS	r_sk2	mm	200
r_sk2_POS_z	z	POS	r_sk2	mm	200
r_sk2_POS_err	n/a	POS	r_sk2	mm	200
r_sk3_POS_x	x	POS	r_sk3	mm	200
r_sk3_POS_y	y	POS	r_sk3	mm	200
r_sk3_POS_z	z	POS	r_sk3	mm	200
r_sk3_POS_err	n/a	POS	r_sk3	mm	200
r_sk4_POS_x	x	POS	r_sk4	mm	200
r_sk4_POS_y	y	POS	r_sk4	mm	200
r_sk4_POS_z	z	POS	r_sk4	mm	200
r_sk4_POS_err	n/a	POS	r_sk4	mm	200
r_th1_POS_x	x	POS	r_th1	mm	200
r_th1_POS_y	y	POS	r_th1	mm	200
r_th1_POS_z	z	POS	r_th1	mm	200
r_th1_POS_err	n/a	POS	r_th1	mm	200
r_th2_POS_x	x	POS	r_th2	mm	200
r_th2_POS_y	y	POS	r_th2	mm	200
r_th2_POS_z	z	POS	r_th2	mm	200
r_th2_POS_err	n/a	POS	r_th2	mm	200
r_th3_POS_x	x	POS	r_th3	mm	200
r_th3_POS_y	y	POS	r_th3	mm	200
r_th3_POS_z	z	POS	r_th3	mm	200
r_th3_POS_err	n/a	POS	r_th3	mm	200
r_th4_POS_x	x	POS	r_th4	mm	200
r_th4_POS_y	y	POS	r_th4	mm	200
r_th4_POS_z	z	POS	r_th4	mm	200
r_th4_POS_err	n/a	POS	r_th4	mm	200
l_asis_POS_x	x	POS	l_asis	mm	200
l_asis_POS_y	y	POS	l_asis	mm	200
l_asis_POS_z	z	POS	l_asis	mm	200
l_asis_POS_err	n/a	POS	l_asis	mm	200
r_asis_POS_x	x	POS	r_asis	mm	200
r_asis_POS_y	y	POS	r_asis	mm	200
r_asis_POS_z	z	POS	r_asis	mm	200
r_asis_POS_err	n/a	POS	r_asis	mm	200
l_psis_POS_x	x	POS	l_psis	mm	200
l_psis_POS_y	y	POS	l_psis	mm	200
l_psis_POS_z	z	POS	l_psis	mm	200
l_psis_POS_err	n/a	POS	l_psis	mm	200
r_psis_POS_x	x	POS	r_psis	mm	200
r_psis_POS_y	y	POS	r_psis	mm	200
r_psis_POS_z	z	POS	r_psis	mm	200
r_psis_POS_err	n/a	POS	r_psis	mm	200
m_ster1_POS_x	x	POS	m_ster1	mm	200
m_ster1_POS_y	y	POS	m_ster1	mm	200
m_ster1_POS_z	z	POS	m_ster1	mm	200
m_ster1_POS_err	n/a	POS	m_ster1	mm	200
m_ster2_POS_x	x	POS	m_ster2	mm	200
m_ster2_POS_y	y	POS	m_ster2	mm	200
m_ster2_POS_z	z	POS	m_ster2	mm	200
m_ster2_POS_err	n/a	POS	m_ster2	mm	200
m_ster3_POS_x	x	POS	m_ster3	mm	200
m_ster3_POS_y	y	POS	m_ster3	mm	200
m_ster3_POS_z	z	POS	m_ster3	mm	200
m_ster3_POS_err	n/a	POS	m_ster3	mm	200
l_sho_POS_x	x	POS	l_sho	mm	200
l_sho_POS_y	y	POS	l_sho	mm	200
l_sho_POS_z	z	POS	l_sho	mm	200
l_sho_POS_err	n/a	POS	l_sho	mm	200
l_ua_POS_x	x	POS	l_ua	mm	200
l_ua_POS_y	y	POS	l_ua	mm	200
l_ua_POS_z	z	POS	l_ua	mm	200
l_ua_POS_err	n/a	POS	l_ua	mm	200
l_elbl_POS_x	x	POS	l_elbl	mm	200
l_elbl_POS_y	y	POS	l_elbl	mm	200
l_elbl_POS_z	z	POS	l_elbl	mm	200
l_elbl_POS_err	n/a	POS	l_elbl	mm	200
l_frm_POS_x	x	POS	l_frm	mm	200
